SEASON,GAMES,AWARENESS,ACTIVATION,ENGAGEMENT,AVG_ACTIVATION_SCORE,CLOSE_GAME_RATE,WIN_RATE,RETAINED_WEEKS,RETENTION_RATE,ACTIVATION_RATE,ENGAGEMENT_RATE
2021-22,82,82,11,6,1.45,20.7,45.1,5,20.0,13.4,7.3
2022-23,82,82,19,13,1.96,29.3,57.3,9,36.0,23.2,15.9
2023-24,82,82,12,2,1.78,22.0,61.0,4,16.0,14.6,2.4
2024-25,82,82,15,12,1.8,22.0,62.2,4,16.0,18.3,14.6
