TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612750,Minnesota Timberwolves,38,20,18,0.526,126.67,88,212,0.415,31,99,0.313,72,94,0.766,24,80,104,37,30.0,15,24,10,69,67,279,4.0,19,16,9,13,24,25,24,20,15,14,13,23,23,19,27,25,27,29,7,22,2,3,6,24,23,15,2021-22
1610612740,New Orleans Pelicans,32,14,18,0.438,115.47,83,186,0.446,20,62,0.323,84,98,0.857,26,74,100,47,29.0,12,8,16,62,70,270,-22.0,28,25,9,19,29,27,30,7,26,30,10,15,20,3,24,28,29,20,4,26,28,15,2,23,27,23,2021-22
1610612752,New York Knicks,44,18,26,0.409,154.183333,97,270,0.359,36,118,0.305,61,83,0.735,38,112,150,64,36.0,9,13,20,94,71,291,-76.0,6,18,27,25,12,20,9,29,6,6,15,29,27,25,11,6,7,12,17,29,17,24,28,21,21,29,2021-22
1610612760,Oklahoma City Thunder,38,16,22,0.421,146.925,114,258,0.442,33,104,0.317,89,118,0.754,27,102,129,65,36.0,19,13,19,84,80,350,-10.0,19,23,21,23,15,10,14,9,11,11,12,12,11,22,23,12,16,9,17,13,17,22,20,14,12,17,2021-22
1610612753,Orlando Magic,33,13,20,0.394,126.398333,78,199,0.392,18,79,0.228,87,105,0.829,24,109,133,34,36.0,11,17,17,64,72,261,-14.0,26,27,17,27,25,30,28,27,29,26,30,13,16,6,27,9,14,30,17,27,13,18,3,20,29,21,2021-22
1610612755,Philadelphia 76ers,45,24,21,0.533,178.295,127,289,0.439,36,100,0.36,106,140,0.757,34,120,154,68,38.0,20,24,18,93,98,396,12.0,3,5,20,12,4,3,6,11,6,13,7,2,1,21,14,3,5,7,22,9,2,20,27,3,3,11,2021-22
1610612756,Phoenix Suns,42,33,9,0.786,129.58,126,218,0.578,31,72,0.431,96,126,0.762,23,99,122,79,30.0,16,13,6,79,82,379,107.0,8,1,1,1,22,4,22,1,15,28,2,8,8,20,30,14,22,3,7,18,17,2,16,12,7,1,2021-22
1610612757,Portland Trail Blazers,33,14,19,0.424,105.34,81,204,0.397,20,78,0.256,73,87,0.839,41,70,111,43,29.0,22,8,14,55,67,255,8.0,26,25,14,22,30,29,27,25,26,27,25,22,26,4,7,29,26,25,4,6,28,13,1,24,30,13,2021-22
1610612758,Sacramento Kings,40,17,23,0.425,155.721667,112,251,0.446,26,87,0.299,101,126,0.802,32,97,129,54,43.0,26,8,13,79,93,351,-7.0,14,21,23,20,11,13,15,8,20,20,17,4,8,11,17,16,16,16,25,3,28,12,16,7,11,16,2021-22
1610612759,San Antonio Spurs,39,15,24,0.385,146.665,97,260,0.373,20,87,0.23,64,99,0.646,41,97,138,53,35.0,20,19,11,89,77,278,-61.0,18,24,25,28,16,20,12,28,26,20,29,28,19,30,7,16,12,18,16,9,9,5,23,17,24,27,2021-22
1610612761,Toronto Raptors,45,26,19,0.578,180.81,135,331,0.408,43,127,0.339,98,133,0.737,68,126,194,65,32.0,35,26,18,81,99,411,39.0,3,2,14,8,3,2,2,22,5,4,8,6,3,24,1,2,1,9,11,1,1,20,19,2,2,5,2021-22
1610612762,Utah Jazz,40,17,23,0.425,141.693333,103,248,0.415,35,117,0.299,75,108,0.694,35,92,127,55,32.0,17,12,12,78,80,316,-11.0,14,21,23,20,18,17,16,19,8,7,16,20,14,28,12,22,18,15,11,17,20,8,14,14,16,18,2021-22
1610612764,Washington Wizards,40,25,15,0.625,160.1,126,277,0.455,46,124,0.371,83,102,0.814,34,120,154,78,46.0,15,23,12,74,80,381,56.0,14,3,3,3,9,4,8,5,3,5,4,17,17,8,14,3,5,4,27,22,4,8,10,14,5,2,2021-22
1610612737,Atlanta Hawks,43,20,23,0.465,184.033333,139,328,0.424,27,98,0.276,97,125,0.776,45,114,159,54,43.0,19,24,29,93,87,402,-64.0,13,17,19,18,7,7,5,19,21,16,25,13,14,17,8,10,6,24,19,17,3,30,20,13,8,28,2022-23
1610612738,Boston Celtics,37,24,13,0.649,170.271667,120,287,0.418,43,135,0.319,103,129,0.798,38,109,147,68,38.0,13,20,14,91,108,386,32.0,22,8,2,2,12,15,14,23,4,4,16,10,12,11,15,12,14,12,8,26,12,11,15,5,11,7,2022-23
1610612751,Brooklyn Nets,40,24,16,0.6,134.763333,104,212,0.491,39,96,0.406,76,102,0.745,20,85,105,56,33.0,18,18,15,76,77,323,6.0,19,8,5,4,26,22,27,3,10,19,1,27,27,22,29,26,29,22,5,19,14,12,7,24,24,14,2022-23
1610612766,Charlotte Hornets,43,20,23,0.465,163.153333,129,298,0.433,40,119,0.336,84,123,0.683,45,105,150,78,37.0,14,15,19,92,86,382,-14.0,13,17,19,18,17,10,10,15,8,8,11,25,16,29,8,15,12,4,7,24,19,19,17,17,12,20,2022-23
1610612741,Chicago Bulls,38,15,23,0.395,178.065,133,292,0.455,25,94,0.266,107,130,0.823,26,117,143,64,39.0,32,21,21,88,87,398,0.0,21,26,19,27,8,9,12,6,24,20,27,7,10,5,27,7,16,14,10,2,10,24,12,13,10,17,2022-23
1610612739,Cleveland Cavaliers,45,24,21,0.533,169.776667,124,290,0.428,34,100,0.34,85,118,0.72,47,112,159,60,48.0,18,18,22,94,96,367,25.0,6,8,13,10,13,13,13,17,13,15,10,23,19,26,5,11,6,18,22,19,14,25,21,9,14,9,2022-23
